model,contrast,scheme,attempted,valid,failed,failure_fraction,conditional_lower,conditional_upper,status,target,temporal_year_blocks,note
p80_p30_min3_sep7,episode_vs_reference,hierarchical_city_independent_year,5000,530,4470,0.894,,,all_11_city_point_unavailable_percentiles_suppressed,resampled_city_distribution,6,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
p80_p30_min3_sep7,episode_vs_reference,synchronized_year_fixed_cities,5000,0,5000,1.0,,,all_11_city_point_unavailable_percentiles_suppressed,fixed_11_cities,6,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
p80_p30_min3_sep7,episode_vs_reference,synchronized_year_resampled_cities,5000,538,4462,0.8924,,,all_11_city_point_unavailable_percentiles_suppressed,resampled_city_distribution,6,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
p80_p30_min3_sep7,heat_only_vs_reference,hierarchical_city_independent_year,5000,5000,0,0.0,-0.20275155499136516,1.3617900543876718,conditional_on_estimability,resampled_city_distribution,6,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
p80_p30_min3_sep7,heat_only_vs_reference,synchronized_year_fixed_cities,5000,5000,0,0.0,0.28175212046483505,0.7290813572537793,conditional_on_estimability,fixed_11_cities,6,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
p80_p30_min3_sep7,heat_only_vs_reference,synchronized_year_resampled_cities,5000,5000,0,0.0,-0.2879457382614915,1.3684176426405805,conditional_on_estimability,resampled_city_distribution,6,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
p80_p30_min3_sep7,wind_only_vs_reference,hierarchical_city_independent_year,5000,5000,0,0.0,2.1586925266867656,3.466204323248914,conditional_on_estimability,resampled_city_distribution,6,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
p80_p30_min3_sep7,wind_only_vs_reference,synchronized_year_fixed_cities,5000,5000,0,0.0,2.654102803348979,3.025497307268587,conditional_on_estimability,fixed_11_cities,6,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
p80_p30_min3_sep7,wind_only_vs_reference,synchronized_year_resampled_cities,5000,5000,0,0.0,2.149150394055025,3.488583766329343,conditional_on_estimability,resampled_city_distribution,6,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
p80_p30_min3_sep7,other_compound_vs_reference,hierarchical_city_independent_year,5000,5000,0,0.0,1.84610540104498,4.1338659021682895,conditional_on_estimability,resampled_city_distribution,6,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
p80_p30_min3_sep7,other_compound_vs_reference,synchronized_year_fixed_cities,5000,5000,0,0.0,2.5181043985257827,3.1707437555878726,conditional_on_estimability,fixed_11_cities,6,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
p80_p30_min3_sep7,other_compound_vs_reference,synchronized_year_resampled_cities,5000,5000,0,0.0,1.7957182684851067,4.179197319199924,conditional_on_estimability,resampled_city_distribution,6,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
p80_p30_min3_sep7,episode_vs_wind_only,hierarchical_city_independent_year,5000,530,4470,0.894,,,all_11_city_point_unavailable_percentiles_suppressed,resampled_city_distribution,6,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
p80_p30_min3_sep7,episode_vs_wind_only,synchronized_year_fixed_cities,5000,0,5000,1.0,,,all_11_city_point_unavailable_percentiles_suppressed,fixed_11_cities,6,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
p80_p30_min3_sep7,episode_vs_wind_only,synchronized_year_resampled_cities,5000,538,4462,0.8924,,,all_11_city_point_unavailable_percentiles_suppressed,resampled_city_distribution,6,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
p80_p30_min3_sep7,episode_vs_heat_only,hierarchical_city_independent_year,5000,530,4470,0.894,,,all_11_city_point_unavailable_percentiles_suppressed,resampled_city_distribution,6,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
p80_p30_min3_sep7,episode_vs_heat_only,synchronized_year_fixed_cities,5000,0,5000,1.0,,,all_11_city_point_unavailable_percentiles_suppressed,fixed_11_cities,6,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
p80_p30_min3_sep7,episode_vs_heat_only,synchronized_year_resampled_cities,5000,538,4462,0.8924,,,all_11_city_point_unavailable_percentiles_suppressed,resampled_city_distribution,6,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
